axis_a,axis_b,layer,depth,cos,reliability_a,reliability_b,cos_disattenuated
persona_v2,harm_v2,26,0.619,-0.22810191511651842,0.994532560006572,0.9938871915067716,-0.2294303574053837
persona_v2,harm_v2,27,0.6429,-0.2480519395237543,0.9944687801749321,0.9941919529644323,-0.24946632454041157
persona_v2,harm_v2,28,0.6667,-0.3038934715226217,0.9947072655556048,0.9938043206686497,-0.30564921517953275
persona_v2,harm_v2,29,0.6905,-0.3533859092916817,0.9948254335573283,0.9938650748610776,-0.3553956223966806
persona_v2,harm_v2,30,0.7143,-0.3579829036244057,0.9948951170391006,0.993784498908496,-0.36002074600566847
persona_v2,harm_v2,31,0.7381,-0.3769933215102192,0.9950362645953151,0.9941791463256953,-0.37903723692943586
persona_v2,harm_v2,32,0.7619,-0.36316843332511495,0.995093520838976,0.9939419781989101,-0.3651704500636202
persona_v2,harm_v2,33,0.7857,-0.4049246769544024,0.9953658446375462,0.9941808922496468,-0.40705226096542496
persona_v2,harm_v2,34,0.8095,-0.4178876902057919,0.9954249104495355,0.9942360693671916,-0.4200592654140539
persona_v2,harm_v2,35,0.8333,-0.4377067109861811,0.9952635182591455,0.9942846645135732,-0.4400061961327058
persona_v2,harm_v2,36,0.8571,-0.44838773418199324,0.9950842589943126,0.9942117425004543,-0.45080046104185384
persona_v2,harm_v2,37,0.881,-0.44120221951737965,0.9948496019346896,0.9941282255198907,-0.44364722667652673
persona_v2,harm_v2,38,0.9048,-0.4225507887161476,0.9946454196780075,0.9940280413508534,-0.4249574576811008
persona_v2,harm_v2,39,0.9286,-0.3990796061685145,0.994647204221577,0.9938140202743313,-0.40139544717817527
persona_v2,harm_v2,40,0.9524,-0.38483902610305276,0.9943894445925165,0.9931627301554744,-0.38724930524254264
persona_v2,harm_v2,41,0.9762,-0.40974941097485673,0.9941585483044681,0.9932159514878189,-0.4123525355738903
persona_v2,harm_v2,42,1.0,-0.33958780521265236,0.9933506956309825,0.992379694225661,-0.34202814999142733
persona_v2,eval_v2,0,0.0,0.0,nan,nan,nan
persona_v2,eval_v2,1,0.0238,-0.09138352275017209,0.9968133224944785,0.9843584023335722,-0.0922538187709959
persona_v2,eval_v2,2,0.0476,0.01661418145045985,0.9962525247385106,0.9851237167007451,0.016770609413992176
